Gender,Age,P3,P5,P10,P25,P50,P75,P90,P95,P97
M,179.5,41.14932239,42.63757221,45.1108035,49.81317566,56.07116407,63.75019486,72.2815034,78.33720309,82.73578555
M,180.5,41.52175462,43.01505816,45.49646217,50.21378283,56.49095862,64.19327833,72.75113236,78.82658994,83.24017154
M,181.5,41.89302144,43.39092788,45.87980164,50.61090716,56.90610886,64.63095632,73.21543801,79.31133801,83.74075385
M,182.5,42.26275389,43.76482163,46.26047782,51.0042348,57.31634059,65.06300059,73.6742397,79.79129954,84.23740907
M,183.5,42.63057829,44.13637714,46.63814737,51.39345743,57.72138846,65.48919135,74.12735965,80.26632286,84.73000377
M,184.5,42.99611758,44.50523096,47.01246901,51.77827341,58.12099696,65.90931806,74.57462329,80.73625224,85.21839391
M,185.5,43.3589927,44.87101979,47.3831047,52.15838887,58.51492143,66.32318017,75.01585966,81.20092786,85.70242429
M,186.5,43.71882106,45.23337973,47.74972019,52.53352018,58.90293208,66.73059164,75.45090384,81.66018503,86.18192445
M,187.5,44.07523324,45.59195858,48.11199053,52.90338872,59.28479948,67.13136309,75.87958721,82.11385795,86.65672655
M,188.5,44.42784452,45.94639581,48.46959303,53.26773454,59.66032626,67.52533948,76.30175821,82.56177239,87.12662858
M,189.5,44.77628678,46.29634576,48.82221709,53.62630488,60.02931704,67.91236375,76.71726244,83.00375329,87.59143077
M,190.5,45.1202019,46.64147321,49.16956302,53.97885832,60.39158721,68.29228717,77.12594864,83.43962339,88.05092631
M,191.5,45.45922209,46.98143987,49.51133821,54.32517625,60.74698785,68.66499835,77.5276843,83.8691966,88.50487158
M,192.5,45.79300591,47.31593016,49.84726703,54.66504759,61.09536847,69.03037911,77.92233231,84.29228904,88.95303286
M,193.5,46.12121938,47.64463827,50.17708708,54.9982797,61.43660077,69.38833214,78.30976593,84.70871297,89.39515827
M,194.5,46.4435428,47.96727332,50.5005518,55.32469696,61.77057372,69.73877506,78.68986591,85.1182789,89.83098491
M,195.5,46.75967279,48.2835611,50.81743186,55.64414166,62.09719399,70.08164061,79.0625209,85.52079616,90.26023965
M,196.5,47.06932426,48.59324591,51.12751661,55.95647478,62.41638628,70.41687682,79.42762779,85.91607365,90.68264001
M,197.5,47.37223239,48.89609218,51.43061537,56.26157681,62.72809362,70.74444713,79.78509216,86.30392061,91.09789536
M,198.5,47.66815456,49.1918862,51.72655874,56.55934839,63.03227756,71.06433046,80.13482859,86.68414749,91.50570814
M,199.5,47.9568721,49.4804377,52.01519982,56.8497111,63.32891841,71.3765212,80.47676112,87.0565669,91.90577541
M,200.5,48.23819204,49.76158125,52.29641539,57.13260799,63.61801537,71.68102918,80.81082354,87.42099463,92.29779046
M,201.5,48.5119486,50.03517772,52.57010692,57.40800416,63.89958662,71.97787966,81.1369598,87.77725073,92.6814447
M,202.5,48.77800463,50.30111539,52.83620153,57.67588728,64.17366943,72.26711325,81.45512442,88.12516072,93.05642962
M,203.5,49.03625275,50.55931105,53.09465275,57.93626794,64.44032016,72.54878582,81.76528289,88.46455683,93.42243904
